Region,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Grisons,1979,0.187241397370764,0.188550777771958,0.153197506939716,0.130938040119415,0.144031844131357,0.103441051694338,7.72534436704551E-02,0.092966008484785,7.33253024668727E-02,0.106059812496727,0.15450688734091,0.145341224532551
Thurgovie,1979,6.10760915910898E-02,4.72475425515978E-02,4.26380262051004E-02,2.65047189923597E-02,0.017285686299365,2.76570980789841E-02,2.76570980789841E-02,2.65047189923597E-02,1.61333072127407E-02,0.020742823559238,9.21903269299469E-03,2.18952026458624E-02
Suisse centrale,1979,0.27935789882349,0.217747244400182,0.205931502455986,0.17765811994666,0.152760663707105,0.143054875681515,0.117735428658238,0.136303023141975,0.125753253548942,0.134615060007089,0.162888442516415,0.162044460948973
Lucerne,1979,0.378976529913466,0.302714312394945,0.289485152213161,0.243572184523439,0.201550146298948,0.202328332191994,0.167309967004918,0.185986428438025,0.179760941293656,0.185208242544979,0.206997447550271,0.214779306480732
Uri,1979,0.091125753539885,7.00967334922193E-02,8.41160801906631E-02,3.50483667461096E-02,7.00967334922193E-02,5.60773867937754E-02,2.80386933968877E-02,4.90677134445535E-02,4.20580400953316E-02,3.50483667461096E-02,8.41160801906631E-02,7.71064068414412E-02
Schwytz,1979,0.148119369642814,0.118981132991768,0.087414709953136,8.25583371779618E-02,8.49865235655489E-02,6.31328460772649E-02,5.58482869145036E-02,5.09919141393293E-02,0.043707354976568,4.85637277517422E-02,5.58482869145036E-02,5.34201005269164E-02
Obwald,1979,0.141736747614098,0.141736747614098,0.160634980629311,0.103940281583672,0.122838514598885,8.50420485684589E-02,1.88982330152131E-02,8.50420485684589E-02,6.61438155532458E-02,0.179533213644524,0.387413776811868,0.302371728243409
Nidwald,1979,0.184194368915007,0.140338566792387,0.140338566792387,0.131567406367862,0.131567406367862,0.052626962547145,6.13981229716692E-02,9.64827646697658E-02,4.38558021226208E-02,4.38558021226208E-02,0.131567406367862,0.114025085518814
Zoug,1979,0.209440953761882,0.119220235218302,0.112775898179475,0.138553246334783,0.096665055582407,0.096665055582407,9.02207185435798E-02,0.115998066698888,9.98872241018205E-02,0.103109392621234,9.34428870629934E-02,0.096665055582407
Tessin,1979,1.38011306950449,1.31544913719839,1.34316225104386,1.13623766766434,1.12145734028009,1.07064996489672,0.972730295976056,0.866496692901748,0.950559804899679,0.989358164283339,1.05032701474338,0.989358164283339
Région lémanique,1978,0.971369236558949,0.865365859425336,0.580457154341311,0.399187438796842,0.404310278583968,0.363130527987453,0.327270649477569,0.359583946596366,0.397020083502289,0.46361700073493,0.552675600111126,0.690204145165517
Vaud,1978,0.544030585084932,0.507331709441693,0.430707683373393,0.322224193834589,0.285122033843622,0.283105612104983,0.250842864286751,0.281895759061799,0.298430417318643,0.329483312093691,0.419415721637012,0.47910180510074
Valais,1978,2.91616310818674,2.45288930665592,1.01942616713665,0.275278635692225,0.233874938453964,0.132044223624726,0.12197305402623,0.120854035181952,0.164495770108769,0.212613580412694,0.307730182176268,0.809050624412515
Genève,1978,0.572845367002932,0.553456754581294,0.568145097324959,0.576370569261411,0.667438294272134,0.601046985070768,0.546406350064335,0.598109316522035,0.662738024594161,0.790820373318919,0.875425227522429,0.935353665916582
Espace Mittelland,1978,0.515226241174302,0.551814377097187,0.379618912121826,0.354184036963538,0.317459885665476,0.283728072621329,0.244419629194884,0.258293197463041,0.254484766958057,0.297737656264664,0.388867957633931,0.446130430583873
Berne 2),1978,0.535031078669986,0.506028960355264,0.421342774876277,0.397445029384946,0.354753911225676,0.306958420243015,0.252898471704373,0.262411166511602,0.252666454757855,0.298141776275339,0.39605292770584,0.449648842351445
Fribourg,1978,0.900166791866668,1.46674985039661,0.394698310436587,0.286474580155588,0.278835258018105,0.231726104836964,0.213901019849505,0.230452884480717,0.269922715524376,0.309392546568035,0.408703734355305,0.450720006111458
Soleure,1978,0.331837171248092,0.300756003693174,0.273331444085894,0.305326763627721,0.251391796400069,0.252305948386979,0.225795540766608,0.235851212622611,0.223967236792789,0.249563492426251,0.32086734740518,0.401312722253202
Neuchâtel,1978,0.480281640884557,0.460464194537379,0.426657962533369,0.387023069839012,0.362542694939557,0.355548302111141,0.34039378431624,0.383525873424804,0.378862944872527,0.452304069570894,0.559551426273271,0.639986943800054
Jura,1978,*,*,*,*,*,*,*,*,*,*,*,*
Suisse du Nord-Ouest,1978,0.45651501083256,0.43822627388087,0.403993509843092,0.439633099800231,0.41946859495606,0.383594534012361,0.345844705176181,0.352878834772985,0.337872691633137,0.364367913114431,0.43822627388087,0.486292826125695
Bâle-Ville,1978,0.982754352669362,0.950573479660038,0.873834474791649,0.952223780840003,0.941496823170229,0.883736281871441,0.758313392194075,0.6857001402756,0.674973182605826,0.708804356795115,0.858156613581979,0.925818961960558
Bâle-Campagne,1978,0.440275454386847,0.409486961073082,0.399224129968493,0.431038906392717,0.39306643130574,0.333542010899127,0.343804842003715,0.427960057061341,0.397171563747575,0.435144038834553,0.502878724124837,0.568560843194204
Argovie,1978,0.157315154693235,0.152985379793422,0.132298677494311,0.144806916093773,0.127487816494518,0.115460663995035,0.106320028095428,0.123639127694684,0.113536319595118,0.130374333094394,0.163088187892987,0.191472267791767
Zurich,1978,0.380861230298273,0.350033874245895,0.327271814835127,0.314188111394293,0.291784509612041,0.254684145060633,0.216329178809419,0.195359407541232,0.186397966828331,0.214357661852581,0.247694221304571,0.277625433285658
Suisse orientale,1978,0.183526110545547,0.161087268200854,0.138412227515689,0.142663797644158,0.115028591809114,9.51879312095953E-02,8.90467743573634E-02,8.73933859740701E-02,8.59761959312474E-02,0.100384294699945,0.13888462419663,0.150930739560624
Glaris,1978,0.100934976625584,9.03102422439439E-02,9.56226094347641E-02,0.111559711007225,0.069060773480663,7.96855078623035E-02,5.84360390990225E-02,3.71865703357416E-02,6.37484062898428E-02,2.65618359541011E-02,1.59371015724607E-02,6.37484062898428E-02
Schaffhouse,1978,0.384944396920445,0.402053036783576,0.313658397490733,0.305104077559167,0.253778157969775,0.171086398631309,0.159680638722555,0.185343598517251,0.171086398631309,0.205303678357571,0.230966638152267,0.290846877673225
